"((3, 7), (4, 2))",[-266.20099714 -262.83286461 -508.5        -268.19243708]
"((2, 7), (4, 2))",[-260.70410111 -263.06082464 -509.         -260.61647882]
"((1, 7), (4, 2))",[-252.54167491 -257.41696994 -764.25       -256.26315709]
"((0, 7), (4, 2))",[-256.60080236 -258.7281775  -510.         -255.22228508]
"((5, 8), (4, 2))",[-273.57298651 -273.44368519 -271.67186259 -510.        ]
"((4, 8), (4, 2))",[-271.69422795 -271.19794457 -271.22493666 -509.5       ]
"((3, 8), (4, 2))",[-263.52527384 -269.74747102 -267.53791425 -261.21270577]
"((2, 8), (4, 2))",[-263.76301065 -263.97415862 -262.30473612 -510.5       ]
"((1, 8), (4, 2))",[-258.93704833 -263.81217341 -256.19428436 -511.        ]
"((0, 8), (4, 2))",[-249.3622769  -256.631508   -257.54964399 -767.25      ]
"((3, 2), (1, 3))",[-244.33787593 -241.83160476 -246.96947359 -508.        ]
"((3, 1), (1, 3))",[-246.23450369 -246.17885239 -247.40823747 -242.43100744]
"((3, 0), (1, 3))",[-250.61366097 -243.67644123 -248.79930846 -247.22139881]
"((2, 3), (1, 3))",[0. 0. 0. 0.]
"((4, 5), (3, 2))",[-275.89686409 -270.6863518  -272.53149385 -271.26375656]
"((3, 6), (3, 2))",[0. 0. 0. 0.]
"((1, 6), (1, 1))",[0. 0. 0. 0.]
"((5, 6), (4, 1))",[-301.35998054 -297.7202415  -300.35539324 -296.18214031]
"((5, 7), (4, 1))",[-290.36175248 -287.83545809 -296.07622805 -288.91246153]
"((4, 7), (4, 1))",[-290.47677057 -287.27340905 -288.37655346 -286.11748981]
"((3, 7), (4, 1))",[-278.55970876 -284.35742203 -509.5        -281.14703528]
"((2, 7), (4, 1))",[-268.40174544 -278.44385848 -510.         -268.63519011]
"((1, 7), (4, 1))",[-268.32296844 -264.06134116 -510.5        -257.6809825 ]
"((0, 7), (4, 1))",[-270.89344122 -262.34276986 -511.         -265.62960283]
"((5, 8), (4, 1))",[-286.2905545  -284.11376581 -289.88631559 -511.        ]
"((4, 8), (4, 1))",[-279.89250889 -286.31510735 -277.91106726 -510.5       ]
"((3, 8), (4, 1))",[-272.80518229 -275.46099437 -276.81554215 -268.56992672]
